Step,f1,esl,-esl,pesl,-pesl,COR_ESL,COR_PESL
0,0,0.077453971,-0.077453971,0.146960422,-0.146960422,0.875132772,0.933442786
1,0,0.076910809,-0.076910809,0.146623939,-0.146623939,,
2,0,0.076858819,-0.076858819,0.146199942,-0.146199942,,
3,0,0.076568812,-0.076568812,0.145951241,-0.145951241,,
4,0,0.07670895,-0.07670895,0.144685954,-0.144685954,,
5,0,0.076464862,-0.076464862,0.143966511,-0.143966511,,
6,0.00054054,0.076302171,-0.076302171,0.14252241,-0.14252241,,
7,0,0.076355197,-0.076355197,0.143402144,-0.143402144,,
8,0,0.076152489,-0.076152489,0.142930761,-0.142930761,,
9,0,0.076040521,-0.076040521,0.14240545,-0.14240545,,
10,0,0.075796828,-0.075796828,0.141231686,-0.141231686,,
11,0,0.075597368,-0.075597368,0.140040159,-0.140040159,,
12,0.000540248,0.075211637,-0.075211637,0.139137715,-0.139137715,,
13,0,0.074930564,-0.074930564,0.138443291,-0.138443291,,
14,0,0.074290194,-0.074290194,0.136728197,-0.136728197,,
15,0,0.074091859,-0.074091859,0.135889143,-0.135889143,,
16,0,0.073352709,-0.073352709,0.134674624,-0.134674624,,
17,0.000540102,0.073358305,-0.073358305,0.134618238,-0.134618238,,
18,0,0.072679691,-0.072679691,0.133154228,-0.133154228,,
19,0.002152851,0.072571404,-0.072571404,0.132921949,-0.132921949,,
20,0,0.071953744,-0.071953744,0.131456882,-0.131456882,,
21,0.009098205,0.071356431,-0.071356431,0.130177528,-0.130177528,,
22,0.009635972,0.070776261,-0.070776261,0.128501952,-0.128501952,,
23,0.025843877,0.070246905,-0.070246905,0.127497241,-0.127497241,,
24,0.042530846,0.069488861,-0.069488861,0.125499129,-0.125499129,,
25,0.06554018,0.069304049,-0.069304049,0.126223713,-0.126223713,,
26,0.079527952,0.06826058,-0.06826058,0.122844748,-0.122844748,,
27,0.101560548,0.068804093,-0.068804093,0.124938346,-0.124938346,,
28,0.119910046,0.067241393,-0.067241393,0.120709479,-0.120709479,,
29,0.131768063,0.068312265,-0.068312265,0.12361981,-0.12361981,,
30,0.151463792,0.066651352,-0.066651352,0.119850755,-0.119850755,,
31,0.145562381,0.069259889,-0.069259889,0.125332147,-0.125332147,,
32,0.17748712,0.066662923,-0.066662923,0.119924337,-0.119924337,,
33,0.163444623,0.069956809,-0.069956809,0.126091063,-0.126091063,,
34,0.188235238,0.066870168,-0.066870168,0.120048895,-0.120048895,,
35,0.183912829,0.071549401,-0.071549401,0.127787009,-0.127787009,,
36,0.201899678,0.066970877,-0.066970877,0.120087609,-0.120087609,,
37,0.201027721,0.071798258,-0.071798258,0.127333134,-0.127333134,,
38,0.217494056,0.067296728,-0.067296728,0.120702803,-0.120702803,,
39,0.219695404,0.071322687,-0.071322687,0.125658825,-0.125658825,,
40,0.243565559,0.067186467,-0.067186467,0.119745165,-0.119745165,,
41,0.214156777,0.072089039,-0.072089039,0.126590535,-0.126590535,,
42,0.261464983,0.065917507,-0.065917507,0.116905436,-0.116905436,,
43,0.218705565,0.070448868,-0.070448868,0.124185652,-0.124185652,,
44,0.2651546,0.065929674,-0.065929674,0.116793588,-0.116793588,,
45,0.224714473,0.069274671,-0.069274671,0.122246727,-0.122246727,,
46,0.272006452,0.06609349,-0.06609349,0.117164083,-0.117164083,,
47,0.237084463,0.069552682,-0.069552682,0.122359402,-0.122359402,,
48,0.280873597,0.064758256,-0.064758256,0.115084812,-0.115084812,,
49,0.255869448,0.068525031,-0.068525031,0.12040168,-0.12040168,,
50,0.276432544,0.065518372,-0.065518372,0.115844928,-0.115844928,,
51,0.251974702,0.068896621,-0.068896621,0.121021301,-0.121021301,,
52,0.283439428,0.066034772,-0.066034772,0.11673335,-0.11673335,,
53,0.263053775,0.068054266,-0.068054266,0.11941421,-0.11941421,,
54,0.27714166,0.067120835,-0.067120835,0.117964096,-0.117964096,,
55,0.279388666,0.067499466,-0.067499466,0.118342713,-0.118342713,,
56,0.283424497,0.067273401,-0.067273401,0.117703311,-0.117703311,,
57,0.276827365,0.06813255,-0.06813255,0.119265139,-0.119265139,,
58,0.276850551,0.067524478,-0.067524478,0.118533075,-0.118533075,,
59,0.281706572,0.067502864,-0.067502864,0.118015431,-0.118015431,,
60,0.282490224,0.067645386,-0.067645386,0.118199289,-0.118199289,,
61,0.286214232,0.067177296,-0.067177296,0.117193826,-0.117193826,,
62,0.284163535,0.067164995,-0.067164995,0.116995528,-0.116995528,,
63,0.281093538,0.068082675,-0.068082675,0.11845056,-0.11845056,,
64,0.294151872,0.066401087,-0.066401087,0.11608693,-0.11608693,,
65,0.294546783,0.067014486,-0.067014486,0.116472982,-0.116472982,,
66,0.283955336,0.067242719,-0.067242719,0.116763219,-0.116763219,,
67,0.303492963,0.066641338,-0.066641338,0.115541808,-0.115541808,,
68,0.295025706,0.067146137,-0.067146137,0.116439283,-0.116439283,,
69,0.310709447,0.065472871,-0.065472871,0.113856636,-0.113856636,,
70,0.300564915,0.066925146,-0.066925146,0.115556933,-0.115556933,,
71,0.315086752,0.065264359,-0.065264359,0.11304874,-0.11304874,,
72,0.318361163,0.065943174,-0.065943174,0.114037581,-0.114037581,,
73,0.319955349,0.066102244,-0.066102244,0.114113979,-0.114113979,,
74,0.32492575,0.065793909,-0.065793909,0.113330297,-0.113330297,,
75,0.314290971,0.066535503,-0.066535503,0.114609234,-0.114609234,,
76,0.329113901,0.066128589,-0.066128589,0.11378897,-0.11378897,,
77,0.32309103,0.065943025,-0.065943025,0.113396734,-0.113396734,,
78,0.330281883,0.065674447,-0.065674447,0.112859473,-0.112859473,,
79,0.322300553,0.067423835,-0.067423835,0.115146227,-0.115146227,,
80,0.336360246,0.065758198,-0.065758198,0.112405851,-0.112405851,,
81,0.326560169,0.066377535,-0.066377535,0.113686576,-0.113686576,,
82,0.336522818,0.066183269,-0.066183269,0.113058269,-0.113058269,,
83,0.327555031,0.0666648,-0.0666648,0.11391183,-0.11391183,,
84,0.333872944,0.066209741,-0.066209741,0.113084741,-0.113084741,,
85,0.336134404,0.066626996,-0.066626996,0.113708675,-0.113708675,,
86,0.331081063,0.067123689,-0.067123689,0.114288032,-0.114288032,,
87,0.332565933,0.067249395,-0.067249395,0.114000402,-0.114000402,,
88,0.334640026,0.066575184,-0.066575184,0.113326177,-0.113326177,,
89,0.335810304,0.067257613,-0.067257613,0.113739923,-0.113739923,,
90,0.340848505,0.066327527,-0.066327527,0.113119856,-0.113119856,,
91,0.33987385,0.067479007,-0.067479007,0.113671966,-0.113671966,,
92,0.350272477,0.066296414,-0.066296414,0.112592712,-0.112592712,,
93,0.34368962,0.066830799,-0.066830799,0.113003083,-0.113003083,,
94,0.351786911,0.066804945,-0.066804945,0.112894565,-0.112894565,,
95,0.348300725,0.066216588,-0.066216588,0.112140857,-0.112140857,,
96,0.354377359,0.066331312,-0.066331312,0.11219357,-0.11219357,,
97,0.354003757,0.066829212,-0.066829212,0.112422787,-0.112422787,,
98,0.359115988,0.066810176,-0.066810176,0.112631105,-0.112631105,,
99,0.35769555,0.067472562,-0.067472562,0.113396838,-0.113396838,,